filename,text
84, পদ থেকে বঞ্চিত করব
85," অন্য দলকে নয়, নিজের দলকে ভালোবাসুন"
86, কিন্তু আজকের সমাবেশে একজন এমপির উপস্থিতি পেয়েছি
87, তাঁকে ধন্যবাদ
88, তারা দেশকে অকার্যকর করতে চেয়েছিল
89,’আরও একটি ছবি সম্প্রতি ফেসবুকে সমালোচনার ঝড় তুলেছে
90, তবে এটি ফটোশপ প্রযুক্তির মাধ্যমে করা হয়েছে
91,এ তো গেল ছবিবিষয়ক বিতর্ক
92, তবে এই সমালোচনা ওঠার পরপরই সেগুলো গায়েব হয়ে যায়
93, মন খারাপ করে বাসায় ফিরে তার আব্বুকে বিষয়টি জানায়
94, দেখা করেন প্রথম আলোর প্রতিনিধির সঙ্গে
95, কিন্তু এই দৃশ্য একটু ভিন্ন
96, এই স্কুলেই হয়েছে অনুষ্ঠান
97, এ কমিটি শিগগিরই কাজ শুরু করবে
98, এর অনুলিপি দেওয়া হয়েছে সুপ্রিম কোর্টকেও
99, তারা কমিশনের কাছে সুপারিশ করবে
100, আবার নির্বাহী হাকিমেরাও তা দেখতে পারবেন
101, প্রার্থীদের বিষয়ে বলা আছে
102, এর পুরোটাই ভূ-গর্ভ থেকে উত্তোলন করা হয়
103, পানি আসার গতিও ধীর
104, টিআই বাংলাদেশের ওয়েবসাইটেও এটি পাওয়া যাবে
105, বরাবরই তিনি পথপ্রদর্শকের ভূমিকা পালন করেছেন
106, সব সময় তাঁর কাজ দেখে অনুপ্রাণিত হয়েছি আমরা
107, তাঁর শারীরিক ও মানসিক শক্তির কোনো তুলনা হয় না
108, সত্যিই তাঁর কাজ আমার অনেক ভালো লাগে
109,’ সম্প্রতি এক খবরে এমনটিই জানিয়েছে পিটিআই
110, সত্যিই তাঁর কাজ দেখে অনেক কিছু শেখার আছে
111,’‘ধুম ৩’ ছবিতে খল চরিত্রে অভিনয় করেছেন আমির খান
112, যদিও ‘‘ডন’’ সিরিজের ছবিতে খল চরিত্রে অভিনয় করেছি
113, আবারও খল চরিত্রে অভিনয় করতে চাই আমি
114, প্রতিদ্বন্দ্বিতাকে আমি ইতিবাচক চোখেই দেখি
115, তবে আমার ভাবনার সঙ্গে সবার তো মিল নাও থাকতে পারে
116, আমার চেয়ে সালমান নিঃসন্দেহে বড় তারকা
117, অভিনয় করতে তার যেন কিছুই করতে হয় না
118, তার মধ্যে যেন তারকাখ্যাতি ভরপুর
119, সে পথেই বেশ ভালোই এগোচ্ছেন মার্তা-ক্রিস্টিয়ানরা
120, টানা দুই জয় নিয়ে উঠে গেছেন কোয়ার্টার ফাইনালে
121," এখন, এত ভালো খেলার পর, চাপটা বদলে যাচ্ছে"
122,’মানুষের প্রত্যাশা স্বাভাবিকভাবেই অলিম্পিকের সোনা
123, তবে এবারও কাজটা সহজ হচ্ছে না ব্রাজিলের জন্য
124, অলিম্পিকে যেটি তাদের টানা ১৩তম জয়
125, সমস্যা হচ্ছে না বলে অনেকেই নিবন্ধন করান না
126," কপিরাইট অফিস বলছে, মানুষ এর মূল্যটাই বোঝে না"
127,মেধাস্বত্বের মালিকানাই হচ্ছে কপিরাইট
128, রাজধানীর শেরেবাংলা নগরে বাংলাদেশ কপিরাইট অফিস আছে
129, এটি আধা বিচার বিভাগীয় প্রতিষ্ঠান
130, কপিরাইট নিবন্ধন বাধ্যতামূলক নয়
131,মেধাস্বত্ব নিবন্ধনের জন্য ফি এক হাজার টাকা
132, অনলাইনেও আবেদন করা যাবে
133, দায়রা জজ আদালতে ফৌজদারি বিচার হবে
134,১৯৬২ সালে কপিরাইট কার্যালয় প্রতিষ্ঠিত হয়
135, এ পর্যন্ত মেধাস্বত্বের নিবন্ধন হয়েছে ১৫ হাজার
136, গত বছরে হয়েছে ৬৩১টি
137, ফটোগ্রাফ নিবন্ধনে এত বছরে কেউ আসেনি
138," আশফাক আহমেদ বলেন, কপিরাইট নিয়ে তেমন ধারণা ছিল না"
139, তবে এর প্রয়োজন আছে
140,ছবি নিয়ে কাজ করে দৃক
141, তবে করলে বাড়তি আইনগত সুবিধা পাওয়া যায়
142,চলচ্চিত্রে এখন পর্যন্ত ৭২টি নিবন্ধন হয়েছে
143, কেন তা জানি না
144, আমি নিজেও করিনি
145, যেহেতু সমস্যা হয়নি
146, তাই হয়তো কেউ আগ্রহ বোধ করে না
147, এটা নিয়ে এখনো সেভাবে সচেতনতা গড়ে ওঠেনি
148, তবে কপিরাইট করা উচিত
149, অন্তত আমি পাইনি
150, এককালীন টাকা দেওয়া হয়
151, কিন্তু বাংলাদেশে এখন স্বেচ্ছাচারিতা চলছে
152, গান করতে গেলে এখন আগেই চুক্তি করিয়ে নেওয়া হয়
153,সবচেয়ে বেশি কপিরাইট নিবন্ধন হয় সাহিত্যকর্ম
154, গত বছর হয়েছে ৩২২টি
155," লেখক হায়াৎ মামুদ বলেন, কপিরাইট আইন আছে"
156, তবে অনেকেই এর ব্যাপারে তেমন সচেতন না
157,কপিরাইট আইন সংশোধনের জন্য একটি খসড়া তৈরি হয়েছে
158, এ ছাড়া প্রচারণার জন্য আলাদা কোনো বাজেটও নেই
159, প্রায় এক ঘণ্টা তাঁরা কথা বলেন
160, সেখানে কিছুটা সময় ব্যাটিং অনুশীলনও করলেন
161, সাইফউদ্দিন অনেকটা সেরে উঠেছেন
162, সাইফউদ্দিন অবশ্য ম্যাচটা খেলতে উন্মুখ
163,গত দুদিনে বড় ঝড়ই গেল সাইফউদ্দিনের ওপর
164, প্রশ্ন উঠেছে তাঁর চোটের বিশ্বাসযোগ্যতা নিয়ে
165, তার বিশ্রামের প্রয়োজন ছিল
166, ওর পিঠের ব্যথাটা ওকে ভোগাচ্ছে
167, সে বল করতে পারেনি
168, আমি বিশ্বকাপ জিততে উন্মুখ
169, এটা একটা বড় চ্যালেঞ্জ
170, আমাদের পাহাড় ডিঙাতে হবে
171, সেখানে তাঁর মৃতদেহও নেই বলে দাবি করেন মন্ত্রী
172, জিয়াউর রহমান হত্যার বিচারও চান তিনি
173, তাই এ নকল কবর অবশ্য অবশ্যই সরাতে হবে
174, ভিন্ন কোনো পথ নেই
175, বধ্যভূমিগুলো সংরক্ষণ করা হবে
176, এ কারণে বিপুলসংখ্যক শিক্ষার্থী ঝরে পড়বেন
177, নতুন গান ‘ওয়ার্কিং ম্যান’ মুক্তি পাচ্ছে মঙ্গলবার
178, এটি জ্যাকোর তৃতীয় একক গান
179, একই সঙ্গে অবমুক্ত হচ্ছে গানটির অডিও ও ভিডিও
180, বেশ জমজমাট একটা গান
181, সেই হিনি হামাইগরে ও বাড়িঘর থাকপারলয়
182, হামারা তার জন্নি দরখাস্ত করছি
183, কিন্তু কোনো কাম হচ্ছে না
184, সামান্য বালু তোলায় সেতুর কোনো ক্ষতি হবে না
185,রানওয়েতে বিমান ছুটছে
186, দেখা দেয় দুর্ঘটনার আশঙ্কা
187,"নোবেল বলেন, ‘ফেস আমার দ্বিতীয় ধারাবাহিক নাটক"
188, প্রথম ধারাবাহিকে কাজ করেছিলাম প্রায় এক যুগ আগে
189," বলা বাহুল্য, পক্ষে কম, অধিকাংশ মতামতই বিপক্ষে"
190," মনে রাখতে হবে, অন্ধ হলেই প্রলয় বন্ধ হবে না"
191,নারী কোটা নিয়েই শুরু করা যাক
192, নারী কোটা থাকার প্রয়োজনীয়তা নিয়ে তর্ক তাই অর্থহীন
193, কিন্তু বিষয়টা শেষ হলো না
194, তাহলে সংখ্যাটা দাঁড়াচ্ছে শূন্য দশমিক ৬
195," মেধায় যাঁরা আসবেন, তাঁরা এর বাইরে থাকবেন"
196, নাতি-পুতিদের এই সুবিধা সম্পূর্ণ বাতিল করা হোক
197, তার মধ্যে ২-৪ শতাংশ মানুষ গুরুতর প্রতিবন্ধী
198," এ নিয়ে চর্চা হোক, এই আমার প্রত্যাশা"
199,মো. তৌহিদ হোসেন: সাবেক পররাষ্ট্রসচিব
200, দ্য হিন্দু অনলাইনের খবরে এ কথা জানানো হয়
201, আগামী ১ ডিসেম্বর এ মামলার শুনানি হবে
202, আমির খান এ ব্যাপারে পাশে পেয়েছেন আরও অনেককে
203,আরও পড়ুনআমিরকে ভারত ছাড়ার কথা বলেন কিরণ!
204, এতে ২৮৫টি আপত্তি ও পর্যবেক্ষণ রয়েছে
205, এরপর বিটিআরসি একটি ১৩ সদস্যের কমিটি গঠন করে
206, আইসিএক্স অপারেটরের আয়ের অনুপাত আগের মতোই থাকবে
207, অবৈধ ভিওআইপি ঠেকানোর দায়িত্ব বিটিআরসির
208, এ বিষয়ে যেকোনো সহযোগিতা আইওএফ করবে
209, এর মধ্যে ২২টির কার্যক্রম বর্তমানে চালু আছে
210," অর্থাৎ, দুই বছরে কল আসা কমেছে ৪০ শতাংশের বেশি"
211, তারা ২০-৩০টি ব্যালট বাক্সও ভেঙে ফেলে
212, বেলা সাড়ে ১১টার দিকে পরিস্থিতি নিয়ন্ত্রণে আসে
213, দুপুর ১২টার দিকে ভোটগ্রহণ বাতিল ঘোষণা করা হয়
214,সংঘর্ষের সময়ে পুলিশ পাঁচজনকে আটক করেছে
215, তার মানে চাইলে এই প্রাণঘাতককে প্রতিরোধ করা সম্ভব
216,দুঃস্বপ্নের সেই ইতিহাস বেশি দিন আগের নয়
217, মেক্সিকোতে প্রথম লেগটি ছিল গোলশূন্য
218, তবে পুরো ম্যাচে আধিপত্য ছিল রিভার প্লেটেরই
219, ৪৫ মিনিটে আলারিও প্রথম গোলটি করেন
220, নকআউট পর্বে খেলাই অনিশ্চিত ছিল দলটির
221, শেষ ষোলোতে খেলতে তাদের ‘সাহায্য’ করেছে তিগ্রেসই
222, আমরা অনেকগুলো বাধা পেরিয়েছি
223, ঈশ্বর আমাদের পুরস্কার দিয়েছেন
224,এক দিকে ভারতকে পিষে মারার কথা বলছেন
225, কিন্তু আমরা সেটা পেরেছি
226,’ ওয়েবসাইট
227,"’ কাজী রিয়াজুল হক বলেন, মানুষ তো পণ্য নয়"
228, এটা সরকারের দায়িত্ব
229,"৤ তিনি বলেন, এ রকম নির্যাতন চলতে পারে না"
230, শরীরে তাঁদের নির্যাতনের ক্ষত অনেকে বিপর্যস্ত
231, সমাজও তাঁদের স্বাভাবিকভাবে নিচ্ছে না
232, এর মধ্যে অন্তত এক হাজার ফিরেছে এ বছরই
233, এই ক্ষোভেরও বিস্ফোরণ ঘটবে
234, এটা ঘটতে বাধ্য
235, এটা গণবিস্ফোরণের একটি অংশ
236, তারপর আমার ড্রাইভার কাপড় থেকে কাগজ দেখাল
237," বলল, আপনার কাগজ ঠিক আছে, আপনি যান"
238, তবে কাগজ ওখানে রাখবেন না
239, ব্লুবুকের ভেতরে রাখবেন
240,"’মওদুদ আহমদ বলেন, এটা তো পুলিশের কাজ"
241, ঠিক আগের মতো
242, আজকে আবার একই কাজ করছেন
243, তাঁরা সবাই শহীদ হন
244, তাঁর বাবাকে নির্দয়ভাবে মারধর করা হয়
245, তিনি ওই সময় রুটি বিক্রি করার জন্য বাজারে ছিলেন
246, তিনি হতবুদ্ধি হয়ে দাঁড়িয়ে ঘটনা দেখতে থাকেন
247, তাঁকে আজ সোমবার আবার জেরা করবে আসামিপক্ষ
248,মম এখন নিজেকে ‘আলতা’ মনে করছেন
249, কিছুদিন আগে ‘আলতাবানু’ ছবির শুটিং শেষ হয়েছে
250, এ ছবির ডাবিং নিয়ে এই মুহূর্তে তাঁর যত ব্যস্ততা
251, দিন দুয়েকের মধ্যে কাজটি শেষ হবে
252, পরিচালক অরুণ চৌধুরী
253, কাজটা মোটামুটি বেশ কষ্টসাধ্য ছিল
254, মমর ‘স্বপ্নবাড়ি’ ছবিটি মুক্তির অপেক্ষায় আছে
255," কারণ, ট্রাম্পকে ঠেকানোর এটাই একমাত্র পথ"
256,’জেরি ব্রাউনের এই সমর্থনের বিশেষ কোনো প্রভাব নেই
257, তবে হিলারির জন্য তা মূল্যবান প্রমাণিত হতে পারে
258, আবার কোনো কোনো জনমত জরিপে স্যান্ডার্স এগিয়ে
259,বেলাল মোহাম্মদ দীর্ঘদিন ধরে জটিল রোগে ভুগছিলেন
260,তিনি সেখানে নিবিড় পরিচর্যায় ছিলেন
261,পদকটি বাংলাদেশ বেতারকে দান করেন তিনি
262,এসে গেল বৈশাখ
263, বৈশাখ মানেই গ্রীষ্মের শুরু
264," আর নববর্ষ মানে ভোর থেকে ঘোরাফেরা, সাজগোজ, আনন্দ"
265, নয়তো অসুস্থ বোধ করতে পারেন
266, সে জন্য সঙ্গে পর্যাপ্ত বিশুদ্ধ পানি রাখুন
267, তাই বুঝেশুনে খান
268, ভর্তায় অতিরিক্ত ঝাল না দেওয়াই ভালো
269, বেশি মসলাযুক্ত খাবারে গরম বেশি লাগে
270, তাড়াহুড়ো করে খাবেন না
271, ধীরে ধীরে খান
272, খাওয়া শেষ করে সঙ্গে সঙ্গে পানি পান করবেন না
273, অন্তত ৩০ মিনিট বিরতি নিন
274, এগুলো অনিরাপদ
275, সঙ্গে অবশ্যই ফ্ল্যাস্কে পানি বা ফলের রস নিন
276,"গরমে চা, কফি বেশি খেলে গরম বেশি লাগে, ঘামও হয়"
277, ক্যাফেইন আরও পানিশূন্য করে দিতে পারে
278, এবার জেনে নিন বৈশাখের ঘোরাঘুরিতে কী ভালো
279,■ লেবুপানি: লেবুর পানি গরমে দ্রুত স্বস্তি এনে দেয়
280,■ তরমুজের রস: তরমুজের প্রায় ৯০ শতাংশ জলীয় অংশ
281, এটি পানিশূন্যতা দ্রুত রোধ করে
282, হজমেও সাহায্য করে
283,■ দই বা দইয়ের শরবত: গরমকালে দই খুব উপকারী
284,■ বেলের শরবত: গরমে পেট ঠান্ডা রাখে বেলের শরবত
285, পেট পরিষ্কার ও কোষ্ঠকাঠিন্য দূর করে
286, আখের রস হিট স্ট্রোক থেকে রক্ষা করে
287, পালার নির্দেশনা দেন তাপস সরকার
288, দ্বিতীয় দিন দেশ অপেরা মঞ্চে আনে নবাব সিরাজউদ্দৌলা
289, এ পালার নির্দেশনায় ছিলেন মিলন কান্তি দে
290, পরদিন একই হলে জয়যাত্রাও সিরাজউদ্দৌলা মঞ্চস্থ করে
291, দর্শক আরও যাত্রা দেখতে চান
292,গ্রেপ্তার ব্যক্তি হলেন মেহেদী হাবিব মো. রফিক
293, তাঁর বাড়ি জামালপুরের ইকবালপুর গ্রামে
294, ১০ বছর ধরে তিনি পলাতক ছিলেন
295, তবে সূচক সামান্য বেড়েছে
296, একপর্যায়ে সূচক ২০ পয়েন্ট বেড়ে যায়
297, তবে দুপুর ১২টা ২৫ মিনিটে সূচক কমে ৫ পয়েন্ট
298, এরপর আবারও ঊর্ধ্বমুখী হয় সূচক
299, শিক্ষার্থীদের এ দাবি ছড়িয়ে পড়েছে সারা দেশে
300, ‘উই ওয়ান্ট জাস্টিস’ স্লোগান চলছে চারদিকে
301, দীর্ঘ সময় এখানে থেকে সবারই ক্ষুধা লেগে গেছে
302, এটা-ওটা কিনে খাচ্ছে সবাই
303, তাই আমরা কয়েকজন এ কাজটাই করছি
304, কেউ বিস্কুট নিয়ে এসেছেন
305," তাঁর বিরুদ্ধে হত্যা, অপহরণসহ ছয়টি মামলা রয়েছে"
306, দীর্ঘদিন তিনি পলাতক ছিলেন
307, গতকাল তাঁকে পাবনা কারাগারে পাঠানো হয়েছে
308, এ ছাড়া উপজেলায় সহকারী শিক্ষকের ২৮টি পদও খালি
309," কারণ, বিদ্যালয়ে অতিরিক্ত শিক্ষক নেই"
310, প্রতি মাসেই চার-পাঁচ দিন এ রকম হয়ে থাকে
311, কিন্তু নিয়োগ হয় না
312, এ কারণে স্ত্রীসহ তাঁর বিরুদ্ধে দুদক মামলা করে
313, কিন্তু রায় ঘোষণার সময় তাঁরা পলাতক ছিলেন
314, এ বিষয়ে প্রধানমন্ত্রীর ঘোষণা চান তাঁরা
315, শিক্ষার্থীরাও বোর্ড থেকে একই মানের সনদ অর্জন করে
316, অথচ বেতন পান না তাঁরা
317, এগুলোকে সংক্ষেপে নন-এমপিও শিক্ষাপ্রতিষ্ঠান বলা হয়
318, এগুলোতে শিক্ষক-কর্মচারী ৪ লাখের বেশি
319, এগুলোতে শিক্ষক-কর্মচারীর সংখ্যা ৭৫ থেকে ৮০ হাজার
320, ফলে এ সড়কে যাতায়াতকারী মানুষের দুর্ভোগ পোহাতে হয়
321, এ জন্যই সৃষ্টি হচ্ছে যানজটের
322, পথে পাঁচ-ছয় জায়গায় যানজটে পড়তে হয়েছে
323, যানজট নিরসনে পুলিশ সর্বাত্মক চেষ্টা করেছে
324, মতবিনিময়ের অনুষ্ঠানটি স্থগিত করা হয়েছে
325, গতকাল শনিবার ভোর পাঁচটায় এ দুর্ঘটনা ঘটে
326, তবে বাকিরা পালিয়ে যেতে সক্ষম হয়
327, এ ঘটনায় থানায় মামলা দায়েরের প্রস্তুতি চলছে
328, তাঁদের প্রতিনিধিদল আগে গেছে
329, শিক্ষার্থীরা শিক্ষাসফরে গেছে
330, তাঁরা আজ যাচ্ছেন
331, ইসলামিয়া বিশ্ববিদ্যালয় থেকেও প্রতিনিধিরা আসবেন
332, শ্রোতারা তাঁদের ভালোবাসা নিয়ে কথা বলেন
333, আমিও তাঁদের সঙ্গে ভালোবাসা নিয়ে আড্ডা দিই
334, আমি শুধু তাঁদের সঙ্গে বন্ধু হয়ে কথা বলি
335,কেমন সাড়া পাচ্ছেন? অনেক অনেক সাড়া পাচ্ছি
336," এত সাড়া পাব, তা আগে ভাবিনি"
337," কারণ, আমি শুধু অভিনয় আর মডেলিং করতাম"
338, তাই রেডিও জকির পরিচয়টি আমার দ্বিতীয় ভালোবাসা
339, এরপর মডেলিং
340,আর কী নিয়ে ব্যস্ত আছেন এখন? এটা তো নিয়মিত অনুষ্ঠান
341, এ ছাড়া বেছে বেছে প্যাকেজ নাটক করছি
342, ধারাবাহিক করছি না; কারণ আমার স্নাতক এখনো শেষ হয়নি
343, তাই পড়ালেখায় আগে সময় দিই
344, টেলিভিশনে একটি নিয়মিত নাচের অনুষ্ঠান করছি
345, নাম ‘হলো স্টারস’
346, এটাও আমাকে বেশ অবাক করেছে
347," আশা করছি, সংখ্যাটা আরও বাড়বে"
348,সাক্ষাৎকার: সৈয়দা সাদিয়া শাহরীন
349, গতকাল রোববার তাকে আটক করা হয়
350, তিনি তল্লাশি চালিয়ে ফেনসিডিলসহ শাহ আলমকে আটক করেন
351, ব্যবহূত মোটরসাইকেলটিও জব্দ করেন
352, পরে পুলিশ তাদের সড়ক থেকে সরিয়ে দেয়
353,"শিক্ষার্থীদের অভিযোগ, তাদের পরীক্ষা ভালো হয়েছিল"
354, সবাই ফেল করার কথা নয়
355, এ সময় তারা সড়কে গাছের গুঁড়ি ফেলে আগুন ধরিয়ে দেয়
356, সড়কে সব ধরনের যান চলাচল বন্ধ হয়ে যায়
357, দুটি প্রতিষ্ঠানের শিক্ষকেরা বোর্ডে যোগাযোগ করছেন
358, আশা করা যায় শিক্ষার্থীদের সঠিক ফল পাওয়া যাবে
359, সেখানেই ডোনাল্ড ট্রাম্পের সঙ্গে ছিলেন ইভানকাও
360, উদ্যোক্তাদের বিভিন্ন চ্যালেঞ্জ আছে
361,’তবে ওই একটি ছবিই নয়
362, ওই অনুষ্ঠানের আরেকটি ছবি ‘ভাইরাল’ হয়েছে
363,অনেকে সেই ছবি নিয়ে টুইটারে ঝড় তুলেছেন
364, ফলে অপরাধীরাও থেকে যাচ্ছে ধরাছোঁয়ার বাইরে
365, একপর্যায়ে তাঁকে লাঞ্ছিতও করা হয়
366, প্রায় সময় আমাদের হুমকি-ধমকি দেওয়া হয়
367, অনেক লোকবলের প্রয়োজন
368, বিরাজমান সমস্যা সমাধানে যথাসাধ্য চেষ্টা করা হচ্ছে
369, ধীরে ধীরে সব ঠিক হয়ে যাবে
370, কিন্তু মারুফ চাঁদা না দেওয়ায় ক্ষিপ্ত ছিলেন রাজা
371, বিক্ষোভ এখনো চলছে
372, দীর্ঘ দিন ধরে তিনি নানা অপকর্ম করে আসছিলেন
373, আজ মারুফকে কুপিয়ে আহত করেছেন
374, এ কারণেই এলাকাবাসী সড়ক অবরোধ বিক্ষোভ করছেন
375, এগুলো জাতে ‘আসলি’ বা যোদ্ধা মোরগ
376, ‘আসিল মোরগ’ নামেও পরিচিতি আছে
377, এখন তিনি পালন করেন
378, বাকিগুলো বাড়িতেই ডিম ফুটে ছানা হয়েছে
379, যে কারণে এটার বাজারদর এখন ৫০ হাজার টাকার বেশি
380," ইমতিয়াজউদ্দীনের বক্তব্য, এটাই আসল আসলি"
381," যেমন লাকা আসলি, মুরগিপর আসলি, কালো আসলি ইত্যাদি"
382, চলে জুন-জুলাই পর্যন্ত
383, যা পরবর্তী সময়ে আসলি মোরগ নামে পরিচিতি পায়
384, যা পরে দেশের অনেক এলাকায় ছড়িয়ে পড়ে
385, ধনাঢ্য ব্যক্তিরা ছিলেন মোরগ লড়াইয়ের পৃষ্ঠপোষক
386, তাই একে শাহি শখ বলা হতো
387, ধনীদের এই আয়োজনে অংশ নিত ভিনদেশি জাতের মোরগ
388, আর দেশি মোরগের লড়াই ছিল সাধারণের আয়োজন
389, এরপর চলে বিশেষ প্রশিক্ষণ
390, একটা মোরগ কমপক্ষে দুই ঘণ্টা লড়াই করতে পারে
391, কিন্তু সূচিতে বিশ্বকাপের কোনো ম্যাচ নেই
392, আর এটা জেনে ফুঁসে উঠেছে গোটা কক্সবাজার
393, এতে জেলার ২৪ লাখ মানুষ হতাশ
394, বক্তব্য দিতে গিয়ে কান্নায় ভেঙে পড়েন তিনি
395, উদ্দেশ্য ছিল বিশ্বকাপের ম্যাচ পাব
396, বাড়বে বিদেশি বিনিয়োগ
397, হোটেলের রয়্যাল মেথোনি ভিলায় ছিলেন পর্তুগিজ তারকা
398, স্কুলটির শিক্ষকেরা ক্লাসে দাঁড়িয়ে শিক্ষা দেন না
399," কারণ, বেশির ভাগ সফটওয়্যারই চলে ক্লাউডে"
400, নিউসায়েনটিস্ট
401, জয়ী দলের দুটি গোল করেন মিরাজ
402, অন্য দুটি গোল সুলতান ও ডালিমের
403, সেই মিছিলে এরশাদ অংশ নেন
